"OTU","kingdom","phylum","class","order","family","genus","species"
"New.CleanUp.ReferenceOTU439318","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA
"New.CleanUp.ReferenceOTU439635","Bacteria","TM7","TM7-3","I025","","",""
"New.CleanUp.ReferenceOTU439942","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",""
"New.CleanUp.ReferenceOTU440006","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,NA
"New.CleanUp.ReferenceOTU440038","Bacteria","Gemmatimonadetes","Gemmatimonadetes","","","",""
"New.CleanUp.ReferenceOTU440354","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Erwinia",""
"New.CleanUp.ReferenceOTU440403","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU440664","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU440726","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU440849","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","",""
"New.CleanUp.ReferenceOTU441089","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",""
"New.CleanUp.ReferenceOTU441583","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",""
"New.CleanUp.ReferenceOTU441664","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"New.CleanUp.ReferenceOTU441690","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",""
"New.CleanUp.ReferenceOTU442203","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"New.CleanUp.ReferenceOTU442557","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,NA
"New.CleanUp.ReferenceOTU443021","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"New.CleanUp.ReferenceOTU443360","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,NA
"New.CleanUp.ReferenceOTU443576","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Erwinia",""
"New.CleanUp.ReferenceOTU443594","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",""
"New.CleanUp.ReferenceOTU444135","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","",""
"New.CleanUp.ReferenceOTU444969","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA,NA
"New.CleanUp.ReferenceOTU445318","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",""
"New.CleanUp.ReferenceOTU445479","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,NA
"New.CleanUp.ReferenceOTU445480","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU445609","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU446046","Bacteria","Chlorobi","","","","",""
"New.CleanUp.ReferenceOTU446134","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",""
"New.CleanUp.ReferenceOTU446359","Bacteria","Chloroflexi","Ellin6529","","","",""
"New.CleanUp.ReferenceOTU446483","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","","",""
"New.CleanUp.ReferenceOTU446575","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",""
"New.CleanUp.ReferenceOTU446692","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"New.CleanUp.ReferenceOTU446701","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"New.CleanUp.ReferenceOTU447483","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU447516","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","",""
"New.CleanUp.ReferenceOTU447881","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",""
"New.CleanUp.ReferenceOTU448234","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","",""
"New.CleanUp.ReferenceOTU448321","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,NA
"New.CleanUp.ReferenceOTU448666","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA,NA
"New.CleanUp.ReferenceOTU448788","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU449020","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",""
"New.CleanUp.ReferenceOTU449229","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","",""
"New.CleanUp.ReferenceOTU450424","Bacteria","Cyanobacteria","Oscillatoriophycideae","Oscillatoriales","Phormidiaceae","Phormidium",""
